"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
63,2001,"ID",1293953,6.3,8.8,6.2,,7.4,7.8,8,6.5,6.1,10,,,,,,,,,,,,,,,,,"R","R","R",0.421,9.3
64,2001,"IL",12419293,7.6,6.4,5.9,15.8,,6.5,11.7,7.8,6.7,8.6,,,,,,,,,,,,,,,,,"R","R","S",0.462,9.1
65,2001,"IN",6080485,7.5,6.4,7,13.9,14.4,4.9,10.1,7.5,6.7,12.5,,,,,,,,,,,,,,,,,"R","D","S",0.432,9
66,2001,"IA",2926324,5.7,6.7,5.5,11.4,,5.4,8.8,5.6,5.1,10.6,,,,,,,,,,,,,,,,,"R","D","R",0.424,7.3
67,2001,"KS",2688418,7.4,7.1,6.4,14.7,8.7,5,11.1,6.7,6,8.7,,,,,,,,,,,,,,,,,"R","R","R",0.441,8.6
68,2001,"KY",4041769,5.9,4.8,6.4,10.8,,6.7,9.8,6.5,5.5,9.3,,,,,,,,,,,,,,,,,"R","D","S",0.46,13.1
69,2001,"LA",4468976,10,6,6.9,13.7,10.8,7.3,12,9.5,8.8,9,,,,,,,,,,,,,,,,,"R","R","D",0.475,14.4
70,2001,"ME",1274923,6.2,,5,14.8,,,8,4.9,4.3,9.8,,,,,,,,,,,,,,,,,"R","I","S",0.428,8.7
71,2001,"MD",5296486,8.1,5.7,5.3,12.7,,4.4,10.9,8,6.6,10.1,,,,,,,,,,,,,,,,,"R","D","D",0.433,5.3
72,2001,"MA",6349097,5,6,4,10.5,,3.6,8.2,5.2,4,6,,,,,,,,,,,,,,,,,"R","R","D",0.461,7
73,2001,"MI",9938444,8,6.7,6,16.9,5.9,4.7,12.7,8.2,6.6,9.4,,,,,,,,,,,,,,,,,"R","R","R",0.444,9.6
74,2001,"MN",4919479,5.4,6.5,4.7,10.8,10.2,6.2,9.6,5.5,4.6,6.3,,,,,,,,,,,,,,,,,"R","I","S",0.43,6.5
75,2001,"MS",2844658,10.5,6.5,7,14.7,15.5,,13,10.1,9.2,12.4,,,,,,,,,,,,,,,,,"R","D","D",0.471,16.8
76,2001,"MO",5595211,7.3,7.2,6.3,15.6,7.2,4.5,11.5,7.6,6.1,8.9,,,,,,,,,,,,,,,,,"R","D","S",0.449,10
77,2001,"MT",902195,7.3,9.2,6.4,,9.9,,9.5,6.9,5.5,15.3,,,,,,,,,,,,,,,,,"R","R","R",0.426,8.6
78,2001,"NE",1711263,6.8,7.2,6.2,15,16.3,6.7,11.1,6.6,6.3,9.4,,,,,,,,,,,,,,,,,"R","R","R",0.43,7.8
79,2001,"NV",1998257,5.6,5.1,5.1,13.7,14.1,4.3,7.7,6,5.6,5.2,,,,,,,,,,,,,,,,,"R","R","S",0.434,7.6
80,2001,"NH",1235786,3.8,,4.5,,,4,6.8,4.9,4.4,8.7,,,,,,,,,,,,,,,,,"R","D","R",0.417,4.9
81,2001,"NJ",8414350,6.4,6.3,4,13.6,,3.1,10.8,6.5,5,8.4,,,,,,,,,,,,,,,,,"R","R","R",0.458,6.4
82,2001,"NM",1819046,6.4,6.3,6,15.8,6.6,4.3,7.8,6.1,5.8,10.8,,,,,,,,,,,,,,,,,"R","R","D",0.457,13.8
83,2001,"NY",18976457,5.8,5.5,4.8,11.2,8.7,3.4,9.5,5.8,5.6,7.2,,,,,,,,,,,,,,,,,"R","R","S",0.495,10.9
84,2001,"NC",8049313,8.6,5.6,6.4,15.1,10.8,6,11.2,8.6,7,9,,,,,,,,,,,,,,,,,"R","D","D",0.458,10.7
85,2001,"ND",642200,8.9,14.3,6.8,,13.6,,11.2,7.9,6.5,11.3,,,,,,,,,,,,,,,,,"R","R","R",0.434,7
86,2001,"OH",11353140,7.6,7.6,6.3,15.3,9.6,4.7,11.6,7.6,6.5,10.8,,,,,,,,,,,,,,,,,"R","R","R",0.449,9.8
87,2001,"OK",3450654,7.4,5.7,7.4,14.5,7.6,6.1,10.4,7.6,7.4,11.4,,,,,,,,,,,,,,,,,"R","R","D",0.46,12.8
